Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"03/01/2017","26 Limetree Hall, Maynooth, Co Kildare","Kildare","","€343,392.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/01/2017","7 THE CLOSE, RYEBRIDGE, KILCOCK","Kildare","","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2017","8 THE WAY, SALLINS PARK, SALLINS","Kildare","","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2017","21 CILL DARA CLOSE, CELBRIDGE, KILDARE","Kildare","","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2017","6A GARDEN APPARTMENTS, OSPREY COMPLEX, DEVOY QUARTER   NAAS","Kildare","","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","10 DUN NA RIOGH GREEN, NAAS, KILDARE","Kildare","","€249,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","105 KINGSBRY, MAYNOOTH, KILDARE","Kildare","","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","154 OLDBRIDGE, SALLINS, KILDARE","Kildare","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","27 ASHVILLE, ATHY, KILDARE","Kildare","","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","39 CAPELLA COURT, LANGTON RD, NEWBRIDGE","Kildare","","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","47 LERR AVE, ABBEYLANDS, CASTLEDERMOT","Kildare","","€58,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2017","71 THE WATERWAYS, SALLINS, KILDARE","Kildare","","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2017","1 RYSTON VIEW, ATHGARVAN ROAD, NEWBRIDGE","Kildare","","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2017","146 BRAYTON PARK, KILCOCK, KILDARE","Kildare","","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2017","1480 ASSUMPTA VILLAS, KILDARE, KILDARE","Kildare","","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2017","20 ARDREW HEIGHTS DUN BRINN ATHY, KILDARE","Kildare","","€113,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2017","BLACK STICK, PROSPEROUS, KILDARE","Kildare","","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2017","NEWTOWNPILSWORTH, MAGANEY, COUNTY KILDARE","Kildare","","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","1639 PAIRC MHUIRE, NEWBRIDGE, KILDARE","Kildare","","€168,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","17A MARYFIELD COURT, MONREAD ROAD, NAAS","Kildare","","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","45 MELITTA PARK, KILDARE TOWN, KILDARE","Kildare","","€157,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","55 THE PARK, WOLSTANHAVEN, CELBRIDGE","Kildare","","€302,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2017","6 RATHBRIDE CLOSE, KILDARE, KILDARE","Kildare","","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2017","115 RIVERFOREST, LEIXLIP, KILDARE","Kildare","","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2017","42 COILL DUBH, ROBERTSTOWN, NAAS","Kildare","","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
