Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2013","Heatherview, Blacktrench, Naas","Kildare","","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2013","13C Abbeylands, Clane","Kildare","","€97,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2013","13 Bleach Road, Dun Brinn, Athy","Kildare","","€91,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2013","4 Avondale Drive, Athy","Kildare","","€77,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"07/01/2013","59 Glen Easton Square, Leixlip","Kildare","","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2013","Apartment 2, The Deanery, Maynooth Road","Kildare","","€64,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2013","Shamrock Stores, Kildare Road, Athy","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2013","28  Rinawade Grove, Leixlip","Kildare","","€191,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2013","53  Castlepark Square, Castlepark, Dunboyne Road  Maynooth","Kildare","","€251,101.31","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2013","5 Callenders Mill, Celbridge","Kildare","","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2013","19 Ruanbeg Lawns, Kildare Town, Kildare","Kildare","","€167,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2013","3 Eyre Mews, Newbridge","Kildare","","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2013","Ballinure, Rathangan","Kildare","","€60,189.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2013","Millicent Road, Clane","Kildare","","€214,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2013","1 Ashgrove Drive, Naas","Kildare","","€157,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2013","4 Cnoc Na Greine, Kilcullen","Kildare","","€106,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2013","Hughestown, Moone","Kildare","","€182,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2013","White of Morn, Hillsborough, Newbridge","Kildare","","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
