Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2015","PAINSTOWN, DONADEA, KILDARE","Kildare","","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2015","21 THE VIEW, ST WOLSTANS ABBEY, CELBRIDGE","Kildare","","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","15 WALSHESTOWN ABBEY, NEWBRIDGE, KILDARE","Kildare","","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","17 THE COURT YARD, COLLEGE WOOD MANOR, CLANE","Kildare","","€113,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","2892 SAINT PATRICK'S PARK, KILL, CO. KILDARE","Kildare","","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","35 Abbeyfield, Ballitore","Kildare","","€105,726.87","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"06/01/2015","54 COLLEGE WOOD MANOR CLANE, KILDARE","Kildare","","€136,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","CASTLEKEELY, CARAGH NAAS, KILDARE","Kildare","","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2015","14 WELLESLEY MANOR, GREAT CONNELL RD, NEWBRIDGE","Kildare","","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2015","30 Castlepark Drive, Dunboyne Road, Maynooth","Kildare","","€281,938.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/01/2015","4 THE COURTYARD, COLLEGE WOOD MANOR, CLANE","Kildare","","€131,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2015","4 THE WATERWAYS, SALLINS, CO KILDARE","Kildare","","€141,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2015","Main Street, Kilcullen","Kildare","","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2015","PAINSTOWN, DONADEA, NAAS","Kildare","","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2015","18 PRIORY WAY, ST RAPHAELS MANOR, CELBRIDGE","Kildare","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
