Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"03/01/2012","28  The Enclosure, Oldtown Demesne, Sallins Road  Naas","Kildare","","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","10 Corrain Bhearu, Cois Bhearu, Athy","Kildare","","€235,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2012","16 TOGHER GROVE, MONASTEREVIN","Kildare","","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","70 Brooklands, Clane","Kildare","","€155,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2012","1 VANESSA CLOSE, CELBRIDGE","Kildare","","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","4 The Avenue, Liffey Hall, Newbridge","Kildare","","€232,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","7 Kilmalum Green, Blessington Manor, Blessington","Kildare","","€170,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2012","14 Primrose Avenue, Naas, Co Kildare","Kildare","","€137,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","19 Hillview, Clane","Kildare","","€141,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","59 Rinawade Vale, Leixlip","Kildare","","€261,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2012","31 Ryebridge Rise, Kilcock","Kildare","","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","12 The Grove, Leinster Street, Athy","Kildare","","€50,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2012","19 primrose close, primrose gardens, naas","Kildare","","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","76 Ruanbeg Park, Ruanbeg Manor, Kildare Town","Kildare","","€162,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","77 The Drive, Hazelhatch Park, celbridge","Kildare","","€198,238.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2012","8 The Grove, Leinster Street, Athy","Kildare","","€50,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"13/01/2012","11 Willow Close, Primrose Gate, Celbridge","Kildare","","€145,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"13/01/2012","Leinster Park, Maynooth","Kildare","","€555,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2012","61 Dara Court, Celbridge","Kildare","","€157,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2012","Avila, Claregate Street, Kildare","Kildare","","€87,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2012","104 Mountain View, Naas","Kildare","","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2012","3 Chestnut Grove, Church Street, Kilcock","Kildare","","€123,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2012","5 Railway Terrace, Dublin Road, Naas","Kildare","","€105,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"19/01/2012","15 Maple Road, Connell Avenue, Newbridge","Kildare","","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2012","2 Treacey Meadows, Greeen Road, Newbridge","Kildare","","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2012","25 Willow Avenue, Primrose Gate, Celbridge","Kildare","","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
