Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/01/2016","14 ALLEN VIEW HEIGHTS, NEWBRIDGE, KILDARE","Kildare","","€198,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","27 Moyglare Village, Maynooth, Co. Kildare","Kildare","","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","72 CURRAGH FINN, KILDARE, KILDARE","Kildare","","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","16 Brownstown Manor, Brownstown Lower, Curragh","Kildare","","€202,643.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2016","408 BALLYFARSOON, MONASTEREVIN, CO KILDARE","Kildare","","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","51 CONEY MEADOWS, ATHY, KILDARE","Kildare","","€83,837.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","9 ROCHFORD WALK, BANKRS WALK, KILCOCK","Kildare","","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2016","105 Brooklands, Clane, Co. Kildare","Kildare","","€213,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2016","23 Alexandra Manor, Clane","Kildare","","€574,889.86","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2016","7 CITY HOUSE, ROBERT STREET, NEWBRIDGE","Kildare","","€66,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2016","BLACKRATH, COLBINSTOWN, KILDARE","Kildare","","€159,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2016","Furryhill, Kilteel, Naas","Kildare","","€485,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2016","ST SENANS, LOCH BUI, NAAS","Kildare","","€227,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2016","155 AYLMER PARK, MOMREAD, NAAS","Kildare","","€244,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"07/01/2016","28 ALLEN MANOR, KILMEAGUE, KILDARE","Kildare","","€72,319.63","Yes","No","Second-Hand Dwelling house /Apartment",""
"07/01/2016","51 KINGSBRY, MAYNOOTH, KILDARE","Kildare","","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
