Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2020","11 OAK GLADE COURT, BLESSINGTON RD, NAAS","Kildare","","€204,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","13 BLOCK C, THE HARBOUR, CANAL SIDE","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","15 BLOCK C, THE HARBOUR CANALSIDE, ATHY","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","16 BLOCK C, THE HARBOUR CANALSIDE, ATHY","Kildare","","€52,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","17 BLOCK C, THE HARBOUR CANALSIDE, ATHY","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","30 BLOCK C, HARBOUR CANALSIDE, ATHY","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","32 THE BLOCK C, THE HARBOUR CANALSIDE, ATHY","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","34 BLOCK C, HARBOUR CANALSIDE, ATHY","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","47 BLOCK C, HARBOUR CANALSIDE, ATHY","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","48 BLOCK C, HARBOUR CANALSIDE, ATHY","Kildare","","€45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","49 BLOCK C, HARBOUR, CANALSIDE","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","50 BLOCK C, HARBOUR CANALSIDE, ATHY","Kildare","","€52,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2020","51 BLOCK C, HARBOUR CANALSIDE, ATHY","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2020","31 THE WILLOWS, ALLENWOOD, KILDARE","Kildare","W91HXC1","€273,127.76","No","Yes","New Dwelling house /Apartment",""
"03/01/2020","7 Oak Park Green, Oak Park, Craddockstown","Kildare","","€288,545.36","No","Yes","New Dwelling house /Apartment",""
"03/01/2020","GRAIGUES, ROBERTSTOWN, NAAS","Kildare","","€535,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","101 SALLINS PIER, SALLINS, KILDARE","Kildare","","€283,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","8 BOYCETOWN COURT, KILCOCK, KILDARE","Kildare","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","NEWTOWN, KILCOCK, KILDARE","Kildare","","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2020","WHITE CASTLE, LEINSTER STREET, ATHY","Kildare","","€435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2020","12 The Green, Ledwill Park, Kilcock","Kildare","","€286,343.61","No","Yes","New Dwelling house /Apartment",""
"07/01/2020","20 lyreen close, mariavilla, maynooth","Kildare","","€422,907.49","No","Yes","New Dwelling house /Apartment",""
"07/01/2020","51 Cloghgarrett Abbey, Rathbride Road, Kildare","Kildare","","€286,299.55","No","Yes","New Dwelling house /Apartment",""
"07/01/2020","82 Carton Wood, Maynooth","Kildare","","€379,955.95","No","Yes","New Dwelling house /Apartment",""
"07/01/2020","CORNELSCOURT, NEWBRIDGE, KILDARE","Kildare","","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2020","LOUGHANURE COMMONS, CLANE, KILDARE","Kildare","","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2020","6 CLUAIN AOIBHINN, MAYNOOTH, KILDARE","Kildare","","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2020","121 Longstone, Blessington Road, Craddockstown","Kildare","","€348,017.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2020","139 ELTON COURT, LEIXLIP, KILDARE","Kildare","","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2020","207 THE GROVE, CELBRIDGE, KILDARE","Kildare","","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2020","22 WILLOWBROOK PARK, CELBRIDGE, CO. KILDARE","Kildare","","€276,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","119 Longstone, Blessington Road, Cradockstown","Kildare","","€341,675.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2020","19 Lyreen Place, Mariavilla, Maynooth","Kildare","","€339,206.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2020","25 Oak Park Avenue, Naas, County Kildare","Kildare","","€348,017.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2020","3 BELMONT GREEN, NEWBRIDGE, CO KILDARE","Kildare","","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","35 The Avenue, Westfield, Leixlip","Kildare","","€528,635.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2020","4 Radharc Na Tuaithe, Gogganstown, Knockraha","Kildare","","€100,000.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2020","52 OAK GLADE HALL, NAAS, KILDARE","Kildare","","€195,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","53 Cloghgarrett Abbey, Rathbride Road, Kildare","Kildare","","€299,559.46","No","Yes","New Dwelling house /Apartment",""
"10/01/2020","6 THE SYCAMORES, NAAS, CO KILDARE","Kildare","","€670,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","87 CRODAUN FOREST PARK, CELBRIDGE, KILDARE","Kildare","","€469,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2020","BLOCK F APT 7, THE HAWTHORNS MILLFIELD, NEWBRIDGE","Kildare","","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2020","31 CEDARPARK, LEIXLIP, KILDARE","Kildare","","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2020","57 ESMONDALE, KILCULLEN RD, NAAS","Kildare","","€248,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2020","8 THE LAWN WALSHESTOWN PARK, NEWBRIDGE, KILDARE","Kildare","","€352,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2020","17 FERNS WAY FERNS BRIDGE, MONASTEREVIN, KILDARE","Kildare","","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2020","20 The Grove, Elsmore, Jigginstown","Kildare","","€317,136.57","No","Yes","New Dwelling house /Apartment",""
"14/01/2020","32 Rathangan Manor, Rathangan","Kildare","","€215,859.00","No","Yes","New Dwelling house /Apartment",""
"14/01/2020","38 THE MEADOWS, RATHANGAN RD OLDGRANGE WOOD, MONASTEREVIN","Kildare","","€147,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2020","43 THE AVENUE, ABBEYLANDS, CLANE","Kildare","","€150,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"14/01/2020","50 Furness Wood, Johnstown","Kildare","","€325,991.00","No","Yes","New Dwelling house /Apartment",""
