Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2014","12 Yellow Lough Park, Rathangan","Kildare","","€152,422.90","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/01/2014","10 DUNFIERTH PARK, JOHNSTOWN BRIDGE, KILDARE","Kildare","","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2014","KILL WEST, KILL, NAAS","Kildare","","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2014","TWO MILE HOUSE, NAAS, KILDARE","Kildare","","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2014","7 SYCAMORE SPRINGS, SALLINS RD, NAAS","Kildare","","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2014","COOLAGH, KILMEAGUE, NAAS","Kildare","","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2014","ROSEBERRY, NEWBRIDGE, KILDARE","Kildare","W12E191","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2014","41 CARTON SQ, MAYNOOTH, KILDARE","Kildare","","€212,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2014","14 BROOKFIELD PARK, MAYNOOTH, KILDARE","Kildare","","€175,750.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2014","20 DUN NA RIOGH GREEN, NAAS, KILDARE","Kildare","","€207,250.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2014","30 MANOR COURT, MAYNOOTH, CO KILDARE","Kildare","","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2014","39 THE LAWN, OLDTOWN MILL, CELBRIDGE","Kildare","","€220,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/01/2014","9 CLONWOOD HEIGHTS, CLANE, KILDARE","Kildare","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2014","beggarsend, craddopckstown east, naas","Kildare","","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2014","KILGOWAN, COLBINSTOWN, KILDARE","Kildare","","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2014","WYNDHAM, BISHOPSCOURT, KILL","Kildare","","€549,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/01/2014","26 THORNHILL GARDENS, CELBRIDGE, KILDARE","Kildare","","€157,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2014","71 MILLBRIDGE WAY, MILL LANE, NAAS","Kildare","","€156,000.00","No","No","Second-Hand Dwelling house /Apartment",""
