Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2019","229 MORELL DALE, NAAS, KILDARE","Kildare","","€60,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","HILLSBOROUGH, ATH GARVAN, CO KILDARE","Kildare","","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","1245 ST EVINS PARK, MONASTERIVEN, KILDARE","Kildare","","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","14  KILHEALE MEADOWS, KILHEALE MANOR, KILL","Kildare","","€277,533.03","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","14 PRESTON BROOK, RATHANGAN, KILDARE","Kildare","","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","15 SALLINS BRIDGE, SALLINS, KILDARE","Kildare","","€382,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","17 The Meadows, Moyglare Hall, Maynooth","Kildare","","€359,559.47","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","20 THE GREEN, CASTLEFARM, JIGGINSTOWN","Kildare","","€352,424.09","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","24 THE CURRAGH PLAINS, KILDARE TOWN, CO KILDARE","Kildare","","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","26 ORCHARD PARK, CURRAGH CAMP, CO KILDARE","Kildare","","€173,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","58 The Green, Elsmore, Naas","Kildare","","€334,758.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","69 Ridgewood Manor, Melitta Road, Kildare","Kildare","","€269,427.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","BALLYTEAGUE, KILMEAGUE, NAAS","Kildare","","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","CLONBRIN, RATHANGAN, KILDARE","Kildare","R51YD60","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","146 LOUISA PARK, STATION RD, LEIXLIP","Kildare","","€231,000.00","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","199 CHAMBERS PARK, KILCOCK, KILDARE","Kildare","","€107,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","7 ASHMOUNT, DERRINTURN, CARBURY","Kildare","","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/01/2019","9 OLD CHAPEL GROVE, CARAGH, NAAS","Kildare","","€237,885.46","No","Yes","New Dwelling house /Apartment",""
"07/01/2019","93 THE MEADOWS, MORRISTOWNBILLER, CORNELSCOURT","Kildare","","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","17 HARBOUR VIEW, NAAS, KILDARE","Kildare","","€155,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","19 LANDEN PARK, OLDTOWN DEMESNE, NAAS","Kildare","","€372,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","20 RAMBLERS COURT, FRANCIS ST, NEWBRIDGE","Kildare","","€107,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"08/01/2019","APT 18 HARBOUR VIEW, NAAS, CO KILDARE","Kildare","","€155,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","14 DARA COURT, CELBRIDGE, KILDARE","Kildare","","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","60 SALLINS PIER, SALLINS, KILDARE","Kildare","","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","7 NEWTOWN HALL, MAYNOOTH, KILDARE","Kildare","","€318,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","MOATEFIELD, ATHY, KILDARE","Kildare","","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","1 Oldbridge Park, Osberstown, Naas","Kildare","","€343,612.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","14 The Meadows, Moyglare Hall, Maynooth","Kildare","","€400,881.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","33 EARLS COURT, ATHY, KILDARE","Kildare","","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","APT.51 HUNTERS WOOD, OSBERSTOWN, NAAS","Kildare","","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","CASTLEFARM HOUSE, RATHCOFFEY DEMESNE, RATHCOFFEY","Kildare","","€925,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","THE BUNGALOW, STATION RD, LEIXLIP","Kildare","","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","1 RINAWADE PARK, LEIXLIP, KILDARE","Kildare","","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","24 WATERSEDGE, OLDTOWN DEMESNE, NAAS","Kildare","","€252,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","37 RIVER FOREST, LEIXLIP, COUNTY KILDARE","Kildare","","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","48 MOOREFIELD DR, NEWBRIDGE, KILDARE","Kildare","","€237,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","8 RIVERDALE, CAPTAINS HILL, LEIXLIP","Kildare","","€343,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","ROSSMORE, BOYCETOWN, KILCOCK","Kildare","","€406,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"14/01/2019","14 ARD BHREAU, COIS BHREAU, ATHY","Kildare","","€180,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"14/01/2019","7 RUANBEG CLOSE, RUANBEG MANOR, KILDARE TOWN","Kildare","","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/01/2019","25 HOPKINS HAVEN, MONASTERVIN, KILDARE","Kildare","","€223,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/01/2019","50 FERNS GREEN, FERNS BBIDGE, MONASTEREVIN","Kildare","","€195,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"15/01/2019","53 CEDARWOOD PARK, NEWBRIDGE, KILDARE","Kildare","","€195,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"15/01/2019","POLLARDSTOWN STABLE, POLLARDSTOWN, THE CURRAGH","Kildare","","€282,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2019","15 WILLOW AVE, PRIMROSE GATE, HAZELHATCH RD","Kildare","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2019","17 OAK GLADE CLOSE, CRADDOCKSTOWN, NAAS","Kildare","","€485,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2019","224 ROSEBERRYHILL, NEWBRIDGE, KILDARE","Kildare","","€264,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/01/2019","84 BEATTY GROVE, CELBRIDGE, CO KILDARE","Kildare","","€437,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2019","1283 CONNOLLY VILLAS, ATHGARVAN, KILDARE","Kildare","","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2019","16 THE DRIVE, HAZELHATCH PARK, CELBRIDGE","Kildare","","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2019","258 CHAMBERS PARK, KILCOCK, KILDARE","Kildare","","€212,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2019","302 SHAWBRIDGE, CHAMBERS PARK, KILCOCK","Kildare","","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2019","40 STONELEIGH, CRADDOCKSTOWN, NAAS","Kildare","","€312,775.00","No","Yes","New Dwelling house /Apartment",""
"17/01/2019","43 THE HOLLANDS, ATHY, HOLLANDS","Kildare","","€137,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2019","6 ROCHFORD PARK APT, KILL, KILDARE","Kildare","","€216,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/01/2019","RIVENDELL, BELAN, MOONE","Kildare","","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","1 MILL BANK, SALLINS, KILDARE","Kildare","","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","11 HERITAGE HOUSE, LYREEN MANOR, MAYNOOTH","Kildare","","€233,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","12 WOOD VIEW, WOODLANDS, RATHANGAN","Kildare","","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","13 OUR LADYS PLACE, NAAS, KILDARE","Kildare","","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","18 Kilheale Meadows, Kilheale Manor, Kill","Kildare","","€259,911.00","No","Yes","New Dwelling house /Apartment",""
"18/01/2019","32 CASTLEBRIDGE, MAYNOOTH, KILDARE","Kildare","","€332,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","34 THE BEECHES, STRAFFAN, KILDARE","Kildare","","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","49 CURRAGH VIEW, BROWNSTOWN, THE CURRAGH","Kildare","","€265,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","58 CAPELLA COURT, NEWBRIDGE, KILDARE","Kildare","","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","59 ROSEBERRY HILL, SEXES LANE RICKARDSTOWN, NEWBRIDGE KILDARE","Kildare","","€276,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","6 ASHFIELD, SUNCROFT, CURRAGH","Kildare","","€230,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","60 Finlay Park, Old Caragh Road, Naas","Kildare","","€339,207.04","No","Yes","New Dwelling house /Apartment",""
"18/01/2019","64 Finlay Park, Old Carragh Road, Naas","Kildare","","€370,044.00","No","Yes","New Dwelling house /Apartment",""
"18/01/2019","721 TONARD, ATHY, KILDARE","Kildare","","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","77 WOODSTOCK ST, ATHY, KILDARE","Kildare","","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","94 LANGTON PARK, NEWBRIDGE, KILDARE","Kildare","","€201,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","HOGANSWOOD HOUSE, FIRMOUNT WEST, CLANE","Kildare","","€690,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/01/2019","NO 1 MAIN STREET, SALLINS, COUNTY KILDARE","Kildare","","€420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/01/2019","CASTLEBROWNE, CLANE, KILDARE","Kildare","","€540,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/01/2019","11 Mill Gate, Millerstown, kilcock","Kildare","","€286,344.00","No","Yes","New Dwelling house /Apartment",""
"21/01/2019","11 ST JOSEPHS RD, NAAS, KILDARE","Kildare","","€420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/01/2019","14 PEBBLE HILL, DUNBOYNE RD, MAYNOOTH","Kildare","","€570,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/01/2019","3 ROCHFORD PARK, KILL, KILDARE","Kildare","","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/01/2019","37 EARLSCOURT, KILDARE RD, ATHY","Kildare","","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/01/2019","37 Hawthorn Manor, Brockagh, Coill Dubh","Kildare","","€281,938.00","No","Yes","New Dwelling house /Apartment",""
"21/01/2019","53 OLDBRIDGE VIEW, OSBERSTOWN, NAAS","Kildare","","€237,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"21/01/2019","81 MORRISTOWN EST, NEWBRIDGE, KILDARE","Kildare","","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2019","15 The Meadows, Moyglare Hall, Moyglare Road","Kildare","","€400,881.00","No","Yes","New Dwelling house /Apartment",""
"22/01/2019","17 Mill Gate, Millerstown, Maynooth Road","Kildare","","€286,342.00","No","Yes","New Dwelling house /Apartment",""
"22/01/2019","20 THE MAPLES, MOOREFIELD RD, NEWBRIDGE","Kildare","","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2019","3 THE CRESCENT, JOHNSTOWN MANOR, JOHNSTOWN","Kildare","","€490,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2019","32 SILKEN VALE, MAYNOOTH, KILDARE","Kildare","","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2019","54 MILLBANK SQ, SALLINS, KILDARE","Kildare","","€163,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"22/01/2019","6 BROOKES MILL, PROSPEROUS, COUNTY KILDARE","Kildare","","€243,500.00","No","Yes","New Dwelling house /Apartment",""
"22/01/2019","99 LACKEN VIEW, NAAS, KILDARE","Kildare","","€190,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"22/01/2019","ALLENWOOD MIDDLE, NAAS, CO KILDARE","Kildare","","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/01/2019","19 THE WATERWAYS, SALLINS, KILDARE","Kildare","","€137,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/01/2019","28 SALLINS WHARF, SALLINS, KILDARE","Kildare","","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/01/2019","2941 MOUNTAIN VIEW, ATHGARVAN, NEWBRIDGE","Kildare","","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/01/2019","5 ABBEY COURT, TICKNEVIN, CARBURY","Kildare","","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/01/2019","7 whitethorn park, allenwood, naas","Kildare","","€220,264.00","No","Yes","New Dwelling house /Apartment",""
"23/01/2019","78 WOODLANDS, NAAS, KILDARE","Kildare","","€371,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"23/01/2019","BALLYHAGEN, CARBURY, CO KILDARE","Kildare","","€343,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","11 MILLFORD, ATHGARVAN, KILDARE","Kildare","","€460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","12 ROSEBURY HILL, NEWBRIDGE, KILDARE","Kildare","","€242,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","125 BEECH PARK, EASTON RD, LEIXLIP","Kildare","","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","146 BEATTY PARK, CELBRIDGE, KILDARE","Kildare","","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","19 The Walk, Elsmore, Jigginstown","Kildare","","€325,947.00","No","Yes","New Dwelling house /Apartment",""
"25/01/2019","3 RUANBEG CLOSE, RUANBEG MANOR, DUBLIN RD","Kildare","","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","4 WATERSEDGE, OLDTOWN DEMENSE, NAAS","Kildare","","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","54 NORTH GLEBE, KILDARE TOWN, KILDARE","Kildare","","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","7 BEAUFIELD GREEN, MAYNOOTH, CO. KILDARE","Kildare","","€162,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"25/01/2019","HILLCREST, KILRUSH, BALLYTORE","Kildare","","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/01/2019","15 PATRICIAN AVE, NAAS, KILDARE","Kildare","","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"28/01/2019","24 CASTLE VILLAGE CRESCENT, CELBRIDGE, KILDARE","Kildare","","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"29/01/2019","15 CHURCHFIELDS, STRAFFAN, CO KILDARE","Kildare","","€1,725,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"29/01/2019","25 The Gardens, Westfield, Leixlip","Kildare","","€387,665.20","No","Yes","New Dwelling house /Apartment",""
"29/01/2019","38 POMEROY PARK, RATHANGAN, KILDARE","Kildare","","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"29/01/2019","5 Kilheale Drive, Kilheale Manor, Kill","Kildare","","€321,586.00","No","Yes","New Dwelling house /Apartment",""
"29/01/2019","6 THE WATERFRONT, BASIN ST, NAAS","Kildare","","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"29/01/2019","BELGARD, KILCOCK, COUNTY KILDARE","Kildare","","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"29/01/2019","THE SWEEP, ARDKILL, CARBURY","Kildare","","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"30/01/2019","108 ROSEVILLE, NAAS, KILDARE","Kildare","","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"30/01/2019","22 the meadows, moyglare hall, moyglare road","Kildare","","€493,392.07","No","Yes","New Dwelling house /Apartment",""
"30/01/2019","34 DOORLEY PARK, RATHANGAN, KILDARE","Kildare","","€205,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"30/01/2019","4 Brocan Wood, Monasterevin","Kildare","","€245,770.93","No","Yes","New Dwelling house /Apartment",""
